time,Direction,Lead_hours,Source_time,Speed
2021-12-29 12:00:00+00:00,SE,1,1640772000,12.96416
2021-12-29 15:00:00+00:00,SE,1,1640782800,12.070079999999999
2021-12-29 18:00:00+00:00,SE,1,1640793600,9.83488
2021-12-29 21:00:00+00:00,WSW,1,1640804400,9.83488
2021-12-30 00:00:00+00:00,WSW,1,1640815200,16.09344
2021-12-30 03:00:00+00:00,WSW,1,1640826000,11.176
2021-12-30 06:00:00+00:00,SW,1,1640836800,12.070079999999999
2021-12-30 09:00:00+00:00,WSW,1,1640847600,8.9408
2021-12-30 12:00:00+00:00,WSW,1,1640858400,11.176
2021-12-30 15:00:00+00:00,WSW,1,1640869200,9.83488
2021-12-30 18:00:00+00:00,W,1,1640880000,11.176
2021-12-30 21:00:00+00:00,SW,1,1640890800,8.9408
2021-12-31 00:00:00+00:00,SW,1,1640901600,9.83488
2021-12-31 03:00:00+00:00,SW,1,1640912400,11.176
2021-12-31 06:00:00+00:00,W,1,1640923200,13.85824
2021-12-31 09:00:00+00:00,WNW,1,1640934000,11.176
2021-12-31 12:00:00+00:00,NNW,1,1640944800,5.81152
2021-12-31 15:00:00+00:00,NNE,1,1640955600,8.04672
2021-12-31 18:00:00+00:00,ENE,1,1640966400,7.15264
2021-12-31 21:00:00+00:00,ESE,1,1640977200,7.15264
2022-01-01 00:00:00+00:00,SE,1,1640988000,8.9408
2022-01-01 03:00:00+00:00,SE,1,1640998800,12.070079999999999
2022-01-01 06:00:00+00:00,ESE,1,1641009600,12.070079999999999
2022-01-01 09:00:00+00:00,SSE,1,1641020400,16.09344
2022-01-01 12:00:00+00:00,S,1,1641031200,13.85824
2022-01-01 15:00:00+00:00,SSW,1,1641042000,11.176
2022-01-01 18:00:00+00:00,SSW,1,1641052800,12.96416
2022-01-01 21:00:00+00:00,SW,1,1641063600,11.176
2022-01-02 00:00:00+00:00,SW,1,1641074400,12.96416
2022-01-02 03:00:00+00:00,SW,1,1641085200,13.85824
2022-01-02 06:00:00+00:00,SSW,1,1641096000,12.070079999999999
2022-01-02 09:00:00+00:00,SSW,1,1641106800,8.9408
2022-01-02 12:00:00+00:00,SSW,1,1641117600,8.9408
2022-01-02 15:00:00+00:00,S,1,1641128400,8.9408
2022-01-02 18:00:00+00:00,SSW,1,1641139200,8.04672
2022-01-02 21:00:00+00:00,SSW,1,1641150000,8.9408
2022-01-03 00:00:00+00:00,WNW,1,1641160800,5.81152
2022-01-03 03:00:00+00:00,N,1,1641171600,16.98752
2022-01-03 06:00:00+00:00,NNW,1,1641182400,15.19936
2022-01-03 09:00:00+00:00,NW,1,1641193200,13.85824
2022-01-03 12:00:00+00:00,WNW,1,1641204000,15.19936
2022-01-03 15:00:00+00:00,W,1,1641214800,13.85824
2022-01-03 18:00:00+00:00,WNW,1,1641225600,19.22272
2022-01-03 21:00:00+00:00,WNW,1,1641236400,20.1168
2022-01-04 00:00:00+00:00,NW,1,1641247200,20.1168
2022-01-04 03:00:00+00:00,NW,1,1641258000,17.8816
2022-01-04 06:00:00+00:00,NW,1,1641268800,21.90496
2022-01-04 09:00:00+00:00,NW,1,1641279600,21.01088
2022-01-04 12:00:00+00:00,NW,1,1641290400,22.799039999999998
2022-01-04 15:00:00+00:00,NNW,1,1641301200,20.1168
2022-01-04 18:00:00+00:00,NNW,1,1641312000,17.8816
2022-01-04 21:00:00+00:00,NNW,1,1641322800,22.799039999999998
2022-01-05 00:00:00+00:00,N,1,1641333600,20.1168
2022-01-05 03:00:00+00:00,N,1,1641344400,17.8816
2022-01-05 06:00:00+00:00,N,1,1641355200,15.19936
2022-01-05 09:00:00+00:00,N,1,1641366000,13.85824
2022-01-05 12:00:00+00:00,NNW,1,1641376800,11.176
2022-01-05 15:00:00+00:00,NNW,1,1641387600,11.176
2022-01-05 18:00:00+00:00,NNW,1,1641398400,7.15264
2022-01-05 21:00:00+00:00,NNW,1,1641409200,4.02336
2022-01-06 00:00:00+00:00,SSE,1,1641420000,1.78816
2022-01-06 03:00:00+00:00,S,1,1641430800,4.91744
2022-01-06 06:00:00+00:00,SSE,1,1641441600,7.15264
2022-01-06 09:00:00+00:00,SSE,1,1641452400,12.96416
2022-01-06 12:00:00+00:00,SSE,1,1641463200,15.19936
2022-01-06 15:00:00+00:00,SSE,1,1641474000,16.09344
2022-01-06 18:00:00+00:00,S,1,1641484800,13.85824
2022-01-06 21:00:00+00:00,NW,1,1641495600,5.81152
2022-01-07 00:00:00+00:00,WSW,1,1641506400,11.176
2022-01-07 03:00:00+00:00,W,1,1641517200,8.9408
2022-01-07 06:00:00+00:00,W,1,1641528000,9.83488
2022-01-07 09:00:00+00:00,WNW,1,1641538800,4.91744
2022-01-07 12:00:00+00:00,WNW,1,1641549600,8.9408
2022-01-07 15:00:00+00:00,WNW,1,1641560400,8.04672
2022-01-07 18:00:00+00:00,WNW,1,1641571200,5.81152
2022-01-07 21:00:00+00:00,NW,1,1641582000,4.02336
2022-01-08 00:00:00+00:00,WSW,1,1641592800,5.81152
2022-01-08 03:00:00+00:00,S,1,1641603600,7.15264
2022-01-08 06:00:00+00:00,SSE,1,1641614400,12.070079999999999
2022-01-08 09:00:00+00:00,SSE,1,1641625200,15.19936
2022-01-08 12:00:00+00:00,S,1,1641636000,12.070079999999999
2022-01-08 15:00:00+00:00,WSW,1,1641646800,7.15264
2022-01-08 18:00:00+00:00,WSW,1,1641657600,8.9408
2022-01-08 21:00:00+00:00,W,1,1641668400,7.15264
2022-01-09 00:00:00+00:00,W,1,1641679200,4.91744
2022-01-09 03:00:00+00:00,W,1,1641690000,7.15264
2022-01-09 06:00:00+00:00,WNW,1,1641700800,4.91744
2022-01-09 09:00:00+00:00,W,1,1641711600,4.91744
2022-01-09 12:00:00+00:00,WSW,1,1641722400,5.81152
2022-01-09 15:00:00+00:00,SW,1,1641733200,4.02336
2022-01-09 18:00:00+00:00,SSE,1,1641744000,4.02336
2022-01-09 21:00:00+00:00,SSE,1,1641754800,5.81152
2022-01-10 00:00:00+00:00,SE,1,1641765600,8.9408
2022-01-10 03:00:00+00:00,SSE,1,1641776400,12.070079999999999
2022-01-10 06:00:00+00:00,SSE,1,1641787200,13.85824
2022-01-10 09:00:00+00:00,SSE,1,1641798000,16.98752
2022-01-10 12:00:00+00:00,SSE,1,1641808800,16.98752
2022-01-10 15:00:00+00:00,S,1,1641819600,15.19936
2022-01-10 18:00:00+00:00,SW,1,1641830400,12.96416
2022-01-10 21:00:00+00:00,WSW,1,1641841200,12.96416
2022-01-11 00:00:00+00:00,WSW,1,1641852000,13.85824
2022-01-11 03:00:00+00:00,SW,1,1641862800,9.83488
2022-01-11 06:00:00+00:00,SSW,1,1641873600,11.176
2022-01-11 09:00:00+00:00,SSW,1,1641884400,9.83488
2022-01-11 12:00:00+00:00,SW,1,1641895200,12.070079999999999
2022-01-11 15:00:00+00:00,SW,1,1641906000,13.85824
2022-01-11 18:00:00+00:00,WSW,1,1641916800,12.96416
2022-01-11 21:00:00+00:00,SW,1,1641927600,13.85824
2022-01-12 00:00:00+00:00,WSW,1,1641938400,16.09344
2022-01-12 03:00:00+00:00,WSW,1,1641949200,16.09344
